13312,(same as u+4e18 丘) hillock or mound | cjk ideograph
13313,to lick; to taste, a mat, bamboo bark | cjk ideograph
13314,(j) non-standard form of u+559c 喜, to like, love, enjoy; a joyful thing | cjk ideograph
13316,component in chinese characters, mirror image of 夂[zhi3] | cjk ideograph
13317,(an ancient form of u+4e94 五) five | cjk ideograph
13318,(corrupted form) to follow, to trust to; to put confidence in; to depend on, to turn around; to turn the body, (interchangeable 隱) | cjk ideograph
13324,a tribe of savages in south china | cjk ideograph
13334,㐖毒, an old name for india | cjk ideograph
13340,(same as 仇) an enemy, enmity, hatred, to hate, a rival, a match | cjk ideograph
13345,(same as 懦) weak; timid; imbecile | cjk ideograph
13348,to implore; to beseech, to seek after, to beg; to pray | cjk ideograph
13351,(j) non-standard form of 第 u+7b2c, sequence, number; grade, degree | cjk ideograph
13352,a kind of fish in legend (a record in old books) | cjk ideograph
13353,wine cups | cjk ideograph
13355,(same as 凶) cruel, unfortunate, sad | cjk ideograph
13356,(same as u+65d2 旒, a corrupted form of u+8352 荒) a cup with pendants, a pennant, wild, barren, uncultivated | cjk ideograph
13357,(same as 廩) a granary, to supply (foodstuff), to stockpile | cjk ideograph
13358,(same as 襄) to help; to assist, to achieve, to rise; to raise | cjk ideograph
13359,(ancient form of 庸) to employ; to use, to manifest | cjk ideograph
13360,(ancient form of 信) to believe in; to trust, truth, sincerity, confidence, a pledge or token | cjk ideograph
13361,(same as 鬒) bushy, black hair | cjk ideograph
13362,name of an island | cjk ideograph
13363,high and level on the top | cjk ideograph
13364,(non-classical of 攀) to drag down; to seize, to pull, to hold to | cjk ideograph
13365,confucianism; scholar | cjk ideograph
13367,a kind of punishment in han dynasty, name of chessmen in chinese chess game (simplified form, a variant 罵) to curse; to revile; to abuse, to scold | cjk ideograph
13368,(non-classical form of 欠) to owe money, deficient, to yawn, last name | cjk ideograph
13369,(standard form of 仡) strong; valiant, a minority ethnic group in china | cjk ideograph
13370,(standard form of 眾) all; the whole of; a multitude, a crowd (three or more) | cjk ideograph
13371,name of a person | cjk ideograph
13372,(corrupted form of 拯) to save; to lift up | cjk ideograph
13373,(simplified form of 偑) name of a place, last name | cjk ideograph
13377,(same as u+20b74 𠭴) short; of short stature | cjk ideograph
13378,(same as 仿) to imitate, like; resembling, according to | cjk ideograph
13379,(same as 拗) to pull; to drag, to break off, to pluck, as a flower | cjk ideograph
13380,(ancient form of 侮) to insult, to ridicule | cjk ideograph
13381,(same as 作) to make; to do; to act, to write; to compose; to rise, work | cjk ideograph
13383,(a simplified form) clever; ingenious; cute; pretty | cjk ideograph
13384,(simplified form) rude; barbarous, stupid; dull, last name | cjk ideograph
13385,cannot straighten up | cjk ideograph
13386,a kind of disease | cjk ideograph
13387,small, poor, submit to the dominion of; slow; late | cjk ideograph
13388,(same as 尪) weak; a rickety person; emaciated | cjk ideograph
13389,inferior; secondary, ugly | cjk ideograph
13390,last name | cjk ideograph
13391,(corrupted form of u+4f47 佇) to stand and wait; to hope for | cjk ideograph
13392,to move; to start; to shake, name of a person | cjk ideograph
13396,(a simplified form) (corrupted form of 偦) all together, mutually, last name | cjk ideograph
13399,a god, pregnant | cjk ideograph
13400,(same as 价) a servant, a middle-man, good, great; (a simplified form) price; value | cjk ideograph
13401,frivolous; flippant; capricious; playful | cjk ideograph
13402,(non-classical form of 那) that, there | cjk ideograph
13403,to shake one's head | cjk ideograph
13404,(a dialect) to engrave | cjk ideograph
13405,to make a fool of; idiotic, simple, stupid | cjk ideograph
13406,(same as 媵) (in old time) a maid who accompanies a bride to her new home; to escort, a concubine | cjk ideograph
13407,insincere and cunning person; a pretentious person | cjk ideograph
13411,stupid; loutish, without ability; unable; lacking power | cjk ideograph
13412,(same as 媌) good looking, a prostitute | cjk ideograph
13413,disrespectful; irreverent, to make light of; to neglect; careless; rush, to exchange, (said of one's personality) easy to get along with | cjk ideograph
13414,anger; rage; angry, (same as 戾) recalcitrant; stubbornly persisting in doing something wrong; cruel; despotic | cjk ideograph
13415,(corrupted form of 悸) perturbed, to throb, palpitation of the heart | cjk ideograph
13416,great; big; tall; vast, noble; high in rank, very; much | cjk ideograph
13417,(simplified form of u+5138 儸) smart; clever | cjk ideograph
13418,(non-classical form of 儕) a generation, a class; a series; a kind | cjk ideograph
13422,last name, girl's name | cjk ideograph
13423,last name, all; together; mutually, a low rank officer to take charge of the bandits in ancient time | cjk ideograph
13424,(a corrupted form) distress; very difficulty; anxiety; very tired | cjk ideograph
13425,a kind of monkey, fingering for an ancient string instrument | cjk ideograph
13427,(same as 媰) pregnant (妊娠, 妊身); cruel; pretty, cute, clever, ingenious, smart; to be hired; (used for 謅) to jest, to chaff, to bawl, mean person (as opposed to real gentleman) | cjk ideograph
13428,(standard form of 侵) to usurp, to encroach upon, to raid | cjk ideograph
13429,(same as 嫉) envy; jealousy, to hate | cjk ideograph
13430,(non-classical form of 愾) anger; passion; rage, to sigh; to groan | cjk ideograph
13431,(same as 態) manner, bearing, behaviour, policy, attitude | cjk ideograph
13433,(non-classical of 會) to meet; to assemble, to co-operate, a society; a guild; an association | cjk ideograph
13434,(a variant of 俊) superior, handsome, refined, eminent | cjk ideograph
13435,strong, robust, vigorous | cjk ideograph
13436,name of a god | cjk ideograph
13437,(same as 傏) to ward off; to parry; to keep out, as wind, rain, or cold | cjk ideograph
13438,(interchangeable 繇) joy, delight, gratification | cjk ideograph
13439,long, of space or time, profitable, excelling | cjk ideograph
13440,do not fear to | cjk ideograph
13441,(same as 俁) of great stature; stalwart, to injure, to grieve | cjk ideograph
