77824,seated man | egyptian hieroglyph a001
77825,man with hand to mouth | egyptian hieroglyph a002
77826,man sitting on heel | egyptian hieroglyph a003
77827,seated man with hands raised | egyptian hieroglyph a004
77828,crouching man hiding behind wall | egyptian hieroglyph a005
77829,seated man hiding behind wall | egyptian hieroglyph a005a
77830,seated man under vase from which water flows | egyptian hieroglyph a006
77831,seated man reaching for libation stone, under vase from which water flows | egyptian hieroglyph a006a
77832,seated man reaching down, under vase from which water flows | egyptian hieroglyph a006b
77833,fatigued man | egyptian hieroglyph a007
77834,man performing hnw-rite | egyptian hieroglyph a008
77835,man steadying basket on head | egyptian hieroglyph a009
77836,seated man holding oar | egyptian hieroglyph a010
77837,seated man holding scepter of authority and shepherd's crook | egyptian hieroglyph a011
77838,soldier with bow and quiver | egyptian hieroglyph a012
77839,man with arms tied behind his back | egyptian hieroglyph a013
77840,falling man with blood streaming from his head | egyptian hieroglyph a014
77841,man whose head is hit with an axe | egyptian hieroglyph a014a
77842,man falling | egyptian hieroglyph a015
77843,man bowing down | egyptian hieroglyph a016
77844,child sitting with hand to mouth | egyptian hieroglyph a017
77845,child sitting with arms hanging down | egyptian hieroglyph a017a
77846,child wearing red crown | egyptian hieroglyph a018
77847,bent man leaning on staff | egyptian hieroglyph a019
77848,man leaning on forked staff | egyptian hieroglyph a020
77849,man holding staff with handkerchief | egyptian hieroglyph a021
77850,statue of man with staff and scepter of authority | egyptian hieroglyph a022
77851,king with staff and mace with round head | egyptian hieroglyph a023
77852,man striking with both hands | egyptian hieroglyph a024
77853,man striking, with left arm hanging behind back | egyptian hieroglyph a025
77854,man with one arm pointing forward | egyptian hieroglyph a026
77855,hastening man | egyptian hieroglyph a027
77856,man with hands raised on either side | egyptian hieroglyph a028
77857,man upside down | egyptian hieroglyph a029
77858,man with hands raised in front | egyptian hieroglyph a030
77859,man with hands raised behind him | egyptian hieroglyph a031
77860,man dancing with arms to the back | egyptian hieroglyph a032
77861,man dancing with arms to the front | egyptian hieroglyph a032a
77862,man with stick and bundle on shoulder | egyptian hieroglyph a033
77863,man pounding in a mortar | egyptian hieroglyph a034
77864,man building wall | egyptian hieroglyph a035
77865,man kneading into vessel | egyptian hieroglyph a036
77866,man in vessel | egyptian hieroglyph a037
77867,man holding necks of two emblematic animals with panther heads | egyptian hieroglyph a038
77868,man on two giraffes | egyptian hieroglyph a039
77869,seated god | egyptian hieroglyph a040
77870,seated god with sceptre | egyptian hieroglyph a040a
77871,king with uraeus | egyptian hieroglyph a041
77872,king with uraeus and flagellum | egyptian hieroglyph a042
77873,king with uraeus and flagellum | egyptian hieroglyph a042a
77874,king wearing white crown | egyptian hieroglyph a043
77875,king wearing white crown with sceptre | egyptian hieroglyph a043a
77876,king wearing white crown with flagellum | egyptian hieroglyph a044
77877,king wearing red crown | egyptian hieroglyph a045
77878,king wearing red crown with sceptre | egyptian hieroglyph a045a
77879,king wearing red crown with flagellum | egyptian hieroglyph a046
77880,shepherd seated and wrapped in mantle, holding stick | egyptian hieroglyph a047
