131072,the sound made by breathing in; oh! (cf. u+311b bopomofo letter o, which is derived from this character) | cjk ideograph
131073,the original form for 七 u+4e03 | cjk ideograph
131077,an alternate form of u+4ea5 亥 | cjk ideograph
131081,(the same as u+4e18 丘) a hill; elder; empty; a name | cjk ideograph
131085,(same as u+4e16 世) generation; world; era | cjk ideograph
131093,variant of u+4e99 亙 | cjk ideograph
131137,a flagon | cjk ideograph
131173,the horns of a sheep | cjk ideograph
131220,to stop | cjk ideograph
131229,full circle; encircle | cjk ideograph
131234,to branch | cjk ideograph
131236,to store up, to pile up | cjk ideograph
131284,allow; right; sincere | cjk ideograph
131318,disorder | cjk ideograph
131340,hook | cjk ideograph
131363,stretch continuously | cjk ideograph
131417,bright, clear | cjk ideograph
131468,(variant of u+5eb8 庸) usual, common; to use | cjk ideograph
131497,(cant.) to play | cjk ideograph
131526,look up to | cjk ideograph
131569,a kind of music | cjk ideograph
131690,small, light; insignificant | cjk ideograph
131751,even, together; to reduce, equalize | cjk ideograph
131877,(cant.) to bow, stoop | cjk ideograph
131905,(cant.) an undesirable situation | cjk ideograph
131965,to pull up; tear | cjk ideograph
132274,dg | cjk ideograph
132302,ton | cjk ideograph
132303,quintal | cjk ideograph
132348,(cant.) a wedge; to thrust in | cjk ideograph
132355,an interjection of doubt or inquiry | cjk ideograph
132361,a roll | cjk ideograph
132403,economical; incorruptable | cjk ideograph
132420,(cant.) 酒𠕄, a dimple | cjk ideograph
132517,kindness, grace, esteem | cjk ideograph
132582,to lean on; to trust in | cjk ideograph
132710,lonely | cjk ideograph
132733,sod | cjk ideograph
132793,to mow | cjk ideograph
132794,to make an eyelet hole | cjk ideograph
132818,to cut; to slice | cjk ideograph
132842,to cut open, sever | cjk ideograph
132844,punish, torture | cjk ideograph
132878,to castrate a fowl, a capon | cjk ideograph
132913,to peel, pare | cjk ideograph
132924,to claw; to pinch with the fingers | cjk ideograph
132973,(cant.) to fell, cut; to sweep away | cjk ideograph
132985,(cant.) to cut with a knife or scissors | cjk ideograph
133037,to carve; to hollow out | cjk ideograph
133040,to attack, destroy; to fatigue | cjk ideograph
133043,sedge; surname | cjk ideograph
133069,pierce | cjk ideograph
133284,to urge, compel | cjk ideograph
133390,seven | cjk ideograph
133391,a tithing | cjk ideograph
133516,forty | cjk ideograph
133532,forty | cjk ideograph
133609,an archaic form of u+6094 悔, to repent | cjk ideograph
133662,spouse; minister | cjk ideograph
133749,to pass, go through | cjk ideograph
133754,to split, rive, crack | cjk ideograph
133785,tent; caravan | cjk ideograph
133860,stingy | cjk ideograph
133869,to join | cjk ideograph
133915,to dive under water | cjk ideograph
133917,submit | cjk ideograph
133922,slippery | cjk ideograph
133942,to invade | cjk ideograph
134004,(same as u+3441 㑁) short; of short stature | cjk ideograph
134056,(cant.) to tie, tow; bring along | cjk ideograph
134057,(cant.) an interjection; rare, specialized | cjk ideograph
134088,phonetic | cjk ideograph
134091,(cant.) naughty, inferior | cjk ideograph
134097,tongue | cjk ideograph
134103,nipple; to suck | cjk ideograph
134118,(cant.) to eat, take a meal | cjk ideograph
134122,(dialect) to eat | cjk ideograph
134126,(j) nonstandard variant of 品 u+54c1, an article, product, commodity | cjk ideograph
134141,(cant.) a final particle indicating affirmation | cjk ideograph
134155,(cant.) left-handed | cjk ideograph
134156,to compress the lips | cjk ideograph
134194,(cant.) to belch | cjk ideograph
134209,(cant.) to fool, trick, cheat | cjk ideograph
134210,(cant.) to put something or sit wherever one wishes; to rebuke, reproach | cjk ideograph
134211,(cant.) thin, flat; poor | cjk ideograph
134227,(cant.) to importune, beg | cjk ideograph
134232,(cant.) contrary, opposing, against; disobedient | cjk ideograph
134245,(cant.) wrangling, a noise; fitful; a soft fabric with no body | cjk ideograph
134263,(cant.) small | cjk ideograph
134264,(cant.) phonetic | cjk ideograph
134294,to grin, laugh | cjk ideograph
134300,(cant.) to owe | cjk ideograph
134325,(cant.) phonetic | cjk ideograph
134335,to suck in | cjk ideograph
134337,to confine | cjk ideograph
134351,(cant.) interjection | cjk ideograph
134357,(cant.) to search | cjk ideograph
134358,(cant.) to strike, pound | cjk ideograph
134390,tongue-tied; to lisp | cjk ideograph
134421,(cant.) to purse the lips; to wriggle | cjk ideograph
134448,(cant.) classifier for a piece or lump of something | cjk ideograph
134451,(cant.) a tiger or demon's howl; to argue, quarrel | cjk ideograph
134470,to carry on a pole; to bear; a burden | cjk ideograph
134471,(cant.) peculiar, strange | cjk ideograph
134472,(cant.) to suck or chew without using the teeth | cjk ideograph
134473,(cant.) hope | cjk ideograph
134488,phonetic | cjk ideograph
134502,resist | cjk ideograph
134505,(cant.) that | cjk ideograph
134511,(cant.) onomatopoetic | cjk ideograph
134524,(cant.) scars on the eyelid; phonetic | cjk ideograph
134525,phonetic | cjk ideograph
134526,(cant.) eloquent, sharp-tongued | cjk ideograph
134527,(cant.) a pair (from the engl.); to stagger | cjk ideograph
134536,excellent | cjk ideograph
134556,(cant.) to do, work; to be willing | cjk ideograph
134565,a bunch, branch | cjk ideograph
134567,(cant.) straight, vertical; ok; to pick up with the fingers; verbal aspect marker of successful completion | cjk ideograph
134574,joy | cjk ideograph
134578,(cant.) to stare at; to take a big bite | cjk ideograph
134665,(cant.) to block, obstruct | cjk ideograph
134666,(cant.) an intensifying particle | cjk ideograph
134670,(cant.) and, with | cjk ideograph
134671,(cant.) final particle | cjk ideograph
134672,(cant.) to endure, last | cjk ideograph
134673,(cant.) soft, sodden | cjk ideograph
134674,(cant.) 生𠸒人, a stranger | cjk ideograph
134714,(cant.) contrary, opposing | cjk ideograph
134732,(cant.) uncommon, rare; penis (vulg.) | cjk ideograph
134765,(cant.) to call (engl. loan-word) | cjk ideograph
134771,(cant.) thick, viscous, dense | cjk ideograph
134775,(cant.) to speak tirelessly | cjk ideograph
134776,(cant.) to cover, close up | cjk ideograph
134777,to hurry | cjk ideograph
134778,(cant.) verbal aspect marker for completion or movement towards | cjk ideograph
134779,(cant.) classifier for smells | cjk ideograph
134791,joy | cjk ideograph
134796,(cant.) timid | cjk ideograph
134808,(cant.) hard to get along with; to rinse, spread thin | cjk ideograph
134813,(cant.) final particle | cjk ideograph
134818,(cant.) final particle | cjk ideograph
134826,(cant.) in a rush; slovenly | cjk ideograph
134827,(cant.) strange, peculiar | cjk ideograph
134828,(cant.) final particle | cjk ideograph
134871,(cant.) imperative final particle | cjk ideograph
134872,(cant.) sound of eating (onomatopoetic) | cjk ideograph
134900,(cant.) to rinse | cjk ideograph
134906,(cant.) final particle | cjk ideograph
134907,(cant.) noise, clamor | cjk ideograph
134908,father | cjk ideograph
134933,(cant.) a suffix indicating time | cjk ideograph
134935,to blink | cjk ideograph
134942,ammonia (obsolete) | cjk ideograph
134957,(cant.) sound of a car-horn (onomatopoetic) | cjk ideograph
134958,(cant.) to urge, importune; a lie, fib | cjk ideograph
134961,(cant.) to spit out; to pester, nag | cjk ideograph
134971,a particle used in transliteration | cjk ideograph
134979,a handful, tuft | cjk ideograph
134988,(cant.) sound of something rushing by | cjk ideograph
134994,(cant.) classifier for hats | cjk ideograph
135012,(cant.) to block, obstruct; head; phonetic | cjk ideograph
135053,(cant.) to flick something off in a disorderly way | cjk ideograph
135055,(cant.) interjection | cjk ideograph
135085,(cant.) soft fabric with no body | cjk ideograph
135092,(cant.) phonetic | cjk ideograph
135093,(cant.) final particle | cjk ideograph
135100,(cant.) phonetic | cjk ideograph
135131,cry used in calling pigs | cjk ideograph
135146,(cant.) final particle | cjk ideograph
135147,(cant.) shabby | cjk ideograph
135148,(cant.) ignorant | cjk ideograph
135149,(cant.) to go somewhere to have a good time | cjk ideograph
135188,used in transliteration | cjk ideograph
135197,(cant.) sound asleep | cjk ideograph
135198,(cant.) a jeep; to wave, beckon | cjk ideograph
135200,or; emphatic particle; (cant.) particle implying doubt | cjk ideograph
135209,(cant.) onomatopoetic | cjk ideograph
135218,(cant.) phonetic | cjk ideograph
135247,(cant.) soft rice or food for a baby | cjk ideograph
135260,(cant.) particle to close a quote | cjk ideograph
135279,(cant.) to pout | cjk ideograph
135285,(cant.) aspect marker for continuous action | cjk ideograph
135286,(cant.) to scratch an itch | cjk ideograph
135287,(cant.) a sharp point; to peck | cjk ideograph
135288,(cant.) a circle, ring | cjk ideograph
135291,(cant.) to beat someone up | cjk ideograph
135304,(cant.) to lie prone; to bend over | cjk ideograph
135318,(cant.) unrestrained | cjk ideograph
135325,(cant.) to choke and cough | cjk ideograph
135338,(cant.) only, merely; a final particle of intimacy | cjk ideograph
135360,(cant.) a musical instrument | cjk ideograph
135361,(cant.) member of a triad; young | cjk ideograph
135367,(cant.) exclamation | cjk ideograph
135368,(cant.) a lasso; a circle, frame | cjk ideograph
135369,(cant.) final particle | cjk ideograph
135375,(cant.) to droop, hang down | cjk ideograph
135379,(cant.) final particle for emphasis | cjk ideograph
135382,call for pigs | cjk ideograph
135396,(cant.) to leave behind, omit | cjk ideograph
135399,to puff, sigh | cjk ideograph
135412,(cant.) smell, odor | cjk ideograph
135413,(cant.) to cover, bury; push from behind | cjk ideograph
135414,(cant.) to like, love; to kiss | cjk ideograph
135438,embroidered; surname | cjk ideograph
135455,(cant.) onomatopoetic, the sound of panting | cjk ideograph
135457,(cant.) emphatic particle | cjk ideograph
135471,(cant.) hiccough | cjk ideograph
135477,(cant.) to grin, laugh | cjk ideograph
135485,(cant.) to slide down | cjk ideograph
135496,(cant.) a particle implying completion, certainty, or urgency | cjk ideograph
135503,(cant.) to accuse, slander; to turn, sprain | cjk ideograph
135552,(cant.) special relationship | cjk ideograph
135559,(cant.) a watt (engl. loan-word) | cjk ideograph
135641,(cant.) round and full | cjk ideograph
135694,a decoy; to inveigle | cjk ideograph
135705,decoy | cjk ideograph
135741,variant of u+571f 土 | cjk ideograph
135748,rascal | cjk ideograph
135854,long robe | cjk ideograph
136046,to droop; descend | cjk ideograph
136116,phonetic | cjk ideograph
136232,country | cjk ideograph
136286,tunnel, underground passage | cjk ideograph
136303,soda; alkaline | cjk ideograph
136323,a shore, bay; winter quarters | cjk ideograph
136324,disappointed | cjk ideograph
136560,fly | cjk ideograph
136663,folded hands | cjk ideograph
136676,tall | cjk ideograph
136734,dustpan, shovel | cjk ideograph
136833,used-up, malpractices; (cant.) bad, vile, corrupt | cjk ideograph
136870,(cant.) vulgar term for female sex organ | cjk ideograph
137009,to envy, to be angry with; (cant.) pregnant | cjk ideograph
137060,surname; sixteenth of the twenty-eight lunar mansions | cjk ideograph
137150,soft, delicate | cjk ideograph
137196,lay hand on | cjk ideograph
137244,a good but ugly woman | cjk ideograph
137273,cunning; wicked, spoiled; coddled | cjk ideograph
137429,a concubine, wife | cjk ideograph
137545,filial | cjk ideograph
137596,(cant.) to carry on the back | cjk ideograph
137676,traitor | cjk ideograph
137732,to stop up | cjk ideograph
137780,rather; it is better; it is easier | cjk ideograph
137803,repse, serenity, peace; peaceful; nanking | cjk ideograph
138009,to wake from sleep | cjk ideograph
138038,to look for; ordinary | cjk ideograph
138100,fissure | cjk ideograph
138109,fissure | cjk ideograph
138114,fissure | cjk ideograph
138150,worn out, spoiled | cjk ideograph
138190,shaggy dog; piebald; confusion | cjk ideograph
138282,(cant.) end, bottom, rump | cjk ideograph
138296,patterns | cjk ideograph
138310,to belong to; allied | cjk ideograph
138326,female genitalia; vulva | cjk ideograph
138389,tray, drawer | cjk ideograph
138402,(cant.) shit | cjk ideograph
138412,(cant.) blunt | cjk ideograph
138462,(minnan dialect) male genitals/penis | cjk ideograph
138510,hill | cjk ideograph
138965,year of age | cjk ideograph
139121,a high hill; the name of a hill | cjk ideograph
139167,danger | cjk ideograph
139239,floods | cjk ideograph
139258,brain | cjk ideograph
139281,ancient form of 巨 | cjk ideograph
139409,to wipe , rub clean | cjk ideograph
139463,(cant.) a sail | cjk ideograph
139477,a covering, awning, screen | cjk ideograph
139574,the noise of tearing silk; to tear | cjk ideograph
139599,blinds, window screens | cjk ideograph
139606,curtain, screen | cjk ideograph
139621,variant of 㡡 u+3861, a screen to make a temporary kitchen; bed curtain | cjk ideograph
139678,a bunch, a handful | cjk ideograph
139681,(cant.) female breast, milk | cjk ideograph
139713,silk; shredded | cjk ideograph
139714,connected | cjk ideograph
139719,to run threads though a web in weaving | cjk ideograph
139784,(cant.) dimple | cjk ideograph
139800,variant of 鹿 u+9e7f, a deer; surname | cjk ideograph
139917,variant of 厨 u+53a8, a kitchen; a closet; a cupboard | cjk ideograph
140060,(royal) court | cjk ideograph
140159,spike | cjk ideograph
140275,pulled taut | cjk ideograph
140327,a stand, frame | cjk ideograph
140411,None
140412,None
140413,None
140414,None
140415,None
140416,None
140417,None
140418,None
140419,None
140420,None
140421,None
140422,None
140423,None
140424,None
140425,None
140426,None
140427,None
140428,None
140429,None
140430,None
140431,None
140432,None
140433,None
140434,None
140435,None
140436,None
140437,None
140438,None
140439,None
140440,None
140441,None
140442,None
140443,None
140444,None
140445,None
140446,None
140447,None
140448,None
140449,None
140450,None
140473,surname | cjk ideograph
140752,sincere, enthusiastic | cjk ideograph
140805,(cant.) flurried, flustered; arbitrarily | cjk ideograph
140856,to hate; willful | cjk ideograph
140898,to fear | cjk ideograph
140913,to impose upon; stupid | cjk ideograph
140950,(cant.) intensifier | cjk ideograph
141044,(cant.) annoyed, impatient, restless | cjk ideograph
141045,(cant.) annoyed, irritated | cjk ideograph
141099,intelligent, tranquil | cjk ideograph
141100,to estimate, calculate | cjk ideograph
141112,worthless, inferior, trashy | cjk ideograph
141173,(cant.) 花𢝵, to be fashionable | cjk ideograph
141237,(cant.) to brush, whisk | cjk ideograph
141255,compliant | cjk ideograph
141315,(cant.) to guard against; to take precautions | cjk ideograph
141363,irritable, surly; sad | cjk ideograph
141365,alarmed, agitated | cjk ideograph
141498,confused | cjk ideograph
141625,(cant.) satisfied, comfortable | cjk ideograph
141656,dissent | cjk ideograph
141662,same as 忡; a sad, uneasy countenance | cjk ideograph
141664,terrified, afraid | cjk ideograph
141698,(cant.) to brag, praise oneself | cjk ideograph
141711,to cut, wound, hurt | cjk ideograph
141788,large profit | cjk ideograph
141926,(cant.) to squeeze out (as from a tube); to tickle | cjk ideograph
142031,(cant.) to cover | cjk ideograph
142037,(cant.) to throw away | cjk ideograph
142054,variant of 拍, to clap, tap, beat; a beat or rhythm | cjk ideograph
142056,(cant.) to push from behind | cjk ideograph
